orderid,productid,unitprice,quantity,discount,orderdate,customerid,employeeid,shipvia,ca,annee_mois,date_join,datesk_x,customersk_x,companyname_x,country_x,employeesk_x,fullname_x,datesk_y,customersk_y,companyname_y,country_y,employeesk_y,fullname_y,customersk,companyname,country,employeesk,fullname
10263,74,8.0,36,0.25,1996-07-23,ERNSH,9,3,216.0,1996-07,1996-07-23,20,ERNSH,Ernst Handel,Austria,9,Anne Dodsworth,20,ERNSH,Ernst Handel,Austria,9,Anne Dodsworth,ERNSH,Ernst Handel,Austria,9,Anne Dodsworth
10264,2,15.2,35,0.0,1996-07-24,FOLKO,6,3,532.0,1996-07,1996-07-24,21,FOLKO,Folk och fä HB,Sweden,6,Michael Suyama,21,FOLKO,Folk och fä HB,Sweden,6,Michael Suyama,FOLKO,Folk och fä HB,Sweden,6,Michael Suyama
10264,41,7.7,25,0.15000000596046448,1996-07-24,FOLKO,6,3,163.6249988526106,1996-07,1996-07-24,21,FOLKO,Folk och fä HB,Sweden,6,Michael Suyama,21,FOLKO,Folk och fä HB,Sweden,6,Michael Suyama,FOLKO,Folk och fä HB,Sweden,6,Michael Suyama
10265,17,31.2,30,0.0,1996-07-25,BLONP,2,1,936.0,1996-07,1996-07-25,22,BLONP,Blondesddsl père et fils,France,2,Andrew Fuller,22,BLONP,Blondesddsl père et fils,France,2,Andrew Fuller,BLONP,Blondesddsl père et fils,France,2,Andrew Fuller
10265,70,12.0,20,0.0,1996-07-25,BLONP,2,1,240.0,1996-07,1996-07-25,22,BLONP,Blondesddsl père et fils,France,2,Andrew Fuller,22,BLONP,Blondesddsl père et fils,France,2,Andrew Fuller,BLONP,Blondesddsl père et fils,France,2,Andrew Fuller
10266,12,30.4,12,0.05000000074505806,1996-07-26,WARTH,3,3,346.5599997282028,1996-07,1996-07-26,23,WARTH,Wartian Herkku,Finland,3,Janet Leverling,23,WARTH,Wartian Herkku,Finland,3,Janet Leverling,WARTH,Wartian Herkku,Finland,3,Janet Leverling
10267,40,14.7,50,0.0,1996-07-29,FRANK,4,1,735.0,1996-07,1996-07-29,26,FRANK,Frankenversand,Germany,4,Margaret Peacock,26,FRANK,Frankenversand,Germany,4,Margaret Peacock,FRANK,Frankenversand,Germany,4,Margaret Peacock
10267,59,44.0,70,0.15000000596046448,1996-07-29,FRANK,4,1,2617.9999816417694,1996-07,1996-07-29,26,FRANK,Frankenversand,Germany,4,Margaret Peacock,26,FRANK,Frankenversand,Germany,4,Margaret Peacock,FRANK,Frankenversand,Germany,4,Margaret Peacock
10267,76,14.4,15,0.15000000596046448,1996-07-29,FRANK,4,1,183.59999871253967,1996-07,1996-07-29,26,FRANK,Frankenversand,Germany,4,Margaret Peacock,26,FRANK,Frankenversand,Germany,4,Margaret Peacock,FRANK,Frankenversand,Germany,4,Margaret Peacock
10268,29,99.0,10,0.0,1996-07-30,GROSR,8,3,990.0,1996-07,1996-07-30,27,GROSR,GROSELLA-Restaurante,Venezuela,8,Laura Callahan,27,GROSR,GROSELLA-Restaurante,Venezuela,8,Laura Callahan,GROSR,GROSELLA-Restaurante,Venezuela,8,Laura Callahan
10268,72,27.8,4,0.0,1996-07-30,GROSR,8,3,111.2,1996-07,1996-07-30,27,GROSR,GROSELLA-Restaurante,Venezuela,8,Laura Callahan,27,GROSR,GROSELLA-Restaurante,Venezuela,8,Laura Callahan,GROSR,GROSELLA-Restaurante,Venezuela,8,Laura Callahan
10269,33,2.0,60,0.05000000074505806,1996-07-31,WHITC,5,1,113.99999991059303,1996-07,1996-07-31,28,WHITC,White Clover Markets,USA,5,Steven Buchanan,28,WHITC,White Clover Markets,USA,5,Steven Buchanan,WHITC,White Clover Markets,USA,5,Steven Buchanan
10269,72,27.8,20,0.05000000074505806,1996-07-31,WHITC,5,1,528.1999995857477,1996-07,1996-07-31,28,WHITC,White Clover Markets,USA,5,Steven Buchanan,28,WHITC,White Clover Markets,USA,5,Steven Buchanan,WHITC,White Clover Markets,USA,5,Steven Buchanan
10270,36,15.2,30,0.0,1996-08-01,WARTH,1,1,456.0,1996-08,1996-08-01,29,WARTH,Wartian Herkku,Finland,1,Nancy Davolio,29,WARTH,Wartian Herkku,Finland,1,Nancy Davolio,WARTH,Wartian Herkku,Finland,1,Nancy Davolio
10270,43,36.8,25,0.0,1996-08-01,WARTH,1,1,919.9999999999999,1996-08,1996-08-01,29,WARTH,Wartian Herkku,Finland,1,Nancy Davolio,29,WARTH,Wartian Herkku,Finland,1,Nancy Davolio,WARTH,Wartian Herkku,Finland,1,Nancy Davolio
10271,33,2.0,24,0.0,1996-08-01,SPLIR,6,2,48.0,1996-08,1996-08-01,29,SPLIR,Split Rail Beer & Ale,USA,6,Michael Suyama,29,SPLIR,Split Rail Beer & Ale,USA,6,Michael Suyama,SPLIR,Split Rail Beer & Ale,USA,6,Michael Suyama
10272,20,64.8,6,0.0,1996-08-02,RATTC,6,2,388.79999999999995,1996-08,1996-08-02,30,RATTC,Rattlesnake Canyon Grocery,USA,6,Michael Suyama,30,RATTC,Rattlesnake Canyon Grocery,USA,6,Michael Suyama,RATTC,Rattlesnake Canyon Grocery,USA,6,Michael Suyama
10272,31,10.0,40,0.0,1996-08-02,RATTC,6,2,400.0,1996-08,1996-08-02,30,RATTC,Rattlesnake Canyon Grocery,USA,6,Michael Suyama,30,RATTC,Rattlesnake Canyon Grocery,USA,6,Michael Suyama,RATTC,Rattlesnake Canyon Grocery,USA,6,Michael Suyama
10272,72,27.8,24,0.0,1996-08-02,RATTC,6,2,667.2,1996-08,1996-08-02,30,RATTC,Rattlesnake Canyon Grocery,USA,6,Michael Suyama,30,RATTC,Rattlesnake Canyon Grocery,USA,6,Michael Suyama,RATTC,Rattlesnake Canyon Grocery,USA,6,Michael Suyama
10273,10,24.8,24,0.05000000074505806,1996-08-05,QUICK,3,3,565.4399995565415,1996-08,1996-08-05,33,QUICK,QUICK-Stop,Germany,3,Janet Leverling,33,QUICK,QUICK-Stop,Germany,3,Janet Leverling,QUICK,QUICK-Stop,Germany,3,Janet Leverling
10273,31,10.0,15,0.05000000074505806,1996-08-05,QUICK,3,3,142.4999998882413,1996-08,1996-08-05,33,QUICK,QUICK-Stop,Germany,3,Janet Leverling,33,QUICK,QUICK-Stop,Germany,3,Janet Leverling,QUICK,QUICK-Stop,Germany,3,Janet Leverling
10273,33,2.0,20,0.0,1996-08-05,QUICK,3,3,40.0,1996-08,1996-08-05,33,QUICK,QUICK-Stop,Germany,3,Janet Leverling,33,QUICK,QUICK-Stop,Germany,3,Janet Leverling,QUICK,QUICK-Stop,Germany,3,Janet Leverling
10273,40,14.7,60,0.05000000074505806,1996-08-05,QUICK,3,3,837.8999993428588,1996-08,1996-08-05,33,QUICK,QUICK-Stop,Germany,3,Janet Leverling,33,QUICK,QUICK-Stop,Germany,3,Janet Leverling,QUICK,QUICK-Stop,Germany,3,Janet Leverling
10273,76,14.4,33,0.05000000074505806,1996-08-05,QUICK,3,3,451.4399996459484,1996-08,1996-08-05,33,QUICK,QUICK-Stop,Germany,3,Janet Leverling,33,QUICK,QUICK-Stop,Germany,3,Janet Leverling,QUICK,QUICK-Stop,Germany,3,Janet Leverling
10274,71,17.2,20,0.0,1996-08-06,VINET,6,1,344.0,1996-08,1996-08-06,34,VINET,Vins et alcools Chevalier,France,6,Michael Suyama,34,VINET,Vins et alcools Chevalier,France,6,Michael Suyama,VINET,Vins et alcools Chevalier,France,6,Michael Suyama
10274,72,27.8,7,0.0,1996-08-06,VINET,6,1,194.6,1996-08,1996-08-06,34,VINET,Vins et alcools Chevalier,France,6,Michael Suyama,34,VINET,Vins et alcools Chevalier,France,6,Michael Suyama,VINET,Vins et alcools Chevalier,France,6,Michael Suyama
10275,24,3.6,12,0.05000000074505806,1996-08-07,MAGAA,1,1,41.03999996781349,1996-08,1996-08-07,35,MAGAA,Magazzini Alimentari Riuniti,Italy,1,Nancy Davolio,35,MAGAA,Magazzini Alimentari Riuniti,Italy,1,Nancy Davolio,MAGAA,Magazzini Alimentari Riuniti,Italy,1,Nancy Davolio
10275,59,44.0,6,0.05000000074505806,1996-08-07,MAGAA,1,1,250.79999980330467,1996-08,1996-08-07,35,MAGAA,Magazzini Alimentari Riuniti,Italy,1,Nancy Davolio,35,MAGAA,Magazzini Alimentari Riuniti,Italy,1,Nancy Davolio,MAGAA,Magazzini Alimentari Riuniti,Italy,1,Nancy Davolio
10276,10,24.8,15,0.0,1996-08-08,TORTU,8,3,372.0,1996-08,1996-08-08,36,TORTU,Tortuga Restaurante,Mexico,8,Laura Callahan,36,TORTU,Tortuga Restaurante,Mexico,8,Laura Callahan,TORTU,Tortuga Restaurante,Mexico,8,Laura Callahan
10276,13,4.8,10,0.0,1996-08-08,TORTU,8,3,48.0,1996-08,1996-08-08,36,TORTU,Tortuga Restaurante,Mexico,8,Laura Callahan,36,TORTU,Tortuga Restaurante,Mexico,8,Laura Callahan,TORTU,Tortuga Restaurante,Mexico,8,Laura Callahan
10277,28,36.4,20,0.0,1996-08-09,MORGK,2,3,728.0,1996-08,1996-08-09,37,MORGK,Morgenstern Gesundkost,Germany,2,Andrew Fuller,37,MORGK,Morgenstern Gesundkost,Germany,2,Andrew Fuller,MORGK,Morgenstern Gesundkost,Germany,2,Andrew Fuller
10277,62,39.4,12,0.0,1996-08-09,MORGK,2,3,472.79999999999995,1996-08,1996-08-09,37,MORGK,Morgenstern Gesundkost,Germany,2,Andrew Fuller,37,MORGK,Morgenstern Gesundkost,Germany,2,Andrew Fuller,MORGK,Morgenstern Gesundkost,Germany,2,Andrew Fuller
10278,44,15.5,16,0.0,1996-08-12,BERGS,8,2,248.0,1996-08,1996-08-12,40,BERGS,Berglunds snabbköp,Sweden,8,Laura Callahan,40,BERGS,Berglunds snabbköp,Sweden,8,Laura Callahan,BERGS,Berglunds snabbköp,Sweden,8,Laura Callahan
10278,59,44.0,15,0.0,1996-08-12,BERGS,8,2,660.0,1996-08,1996-08-12,40,BERGS,Berglunds snabbköp,Sweden,8,Laura Callahan,40,BERGS,Berglunds snabbköp,Sweden,8,Laura Callahan,BERGS,Berglunds snabbköp,Sweden,8,Laura Callahan
10278,63,35.1,8,0.0,1996-08-12,BERGS,8,2,280.8,1996-08,1996-08-12,40,BERGS,Berglunds snabbköp,Sweden,8,Laura Callahan,40,BERGS,Berglunds snabbköp,Sweden,8,Laura Callahan,BERGS,Berglunds snabbköp,Sweden,8,Laura Callahan
10278,73,12.0,25,0.0,1996-08-12,BERGS,8,2,300.0,1996-08,1996-08-12,40,BERGS,Berglunds snabbköp,Sweden,8,Laura Callahan,40,BERGS,Berglunds snabbköp,Sweden,8,Laura Callahan,BERGS,Berglunds snabbköp,Sweden,8,Laura Callahan
10279,17,31.2,15,0.25,1996-08-13,LEHMS,8,2,351.0,1996-08,1996-08-13,41,LEHMS,Lehmanns Marktstand,Germany,8,Laura Callahan,41,LEHMS,Lehmanns Marktstand,Germany,8,Laura Callahan,LEHMS,Lehmanns Marktstand,Germany,8,Laura Callahan
10280,24,3.6,12,0.0,1996-08-14,BERGS,2,1,43.2,1996-08,1996-08-14,42,BERGS,Berglunds snabbköp,Sweden,2,Andrew Fuller,42,BERGS,Berglunds snabbköp,Sweden,2,Andrew Fuller,BERGS,Berglunds snabbköp,Sweden,2,Andrew Fuller
10280,55,19.2,20,0.0,1996-08-14,BERGS,2,1,384.0,1996-08,1996-08-14,42,BERGS,Berglunds snabbköp,Sweden,2,Andrew Fuller,42,BERGS,Berglunds snabbköp,Sweden,2,Andrew Fuller,BERGS,Berglunds snabbköp,Sweden,2,Andrew Fuller
10280,75,6.2,30,0.0,1996-08-14,BERGS,2,1,186.0,1996-08,1996-08-14,42,BERGS,Berglunds snabbköp,Sweden,2,Andrew Fuller,42,BERGS,Berglunds snabbköp,Sweden,2,Andrew Fuller,BERGS,Berglunds snabbköp,Sweden,2,Andrew Fuller
10281,19,7.3,1,0.0,1996-08-14,ROMEY,4,1,7.3,1996-08,1996-08-14,42,ROMEY,Romero y tomillo,Spain,4,Margaret Peacock,42,ROMEY,Romero y tomillo,Spain,4,Margaret Peacock,ROMEY,Romero y tomillo,Spain,4,Margaret Peacock
10281,24,3.6,6,0.0,1996-08-14,ROMEY,4,1,21.6,1996-08,1996-08-14,42,ROMEY,Romero y tomillo,Spain,4,Margaret Peacock,42,ROMEY,Romero y tomillo,Spain,4,Margaret Peacock,ROMEY,Romero y tomillo,Spain,4,Margaret Peacock
10281,35,14.4,4,0.0,1996-08-14,ROMEY,4,1,57.6,1996-08,1996-08-14,42,ROMEY,Romero y tomillo,Spain,4,Margaret Peacock,42,ROMEY,Romero y tomillo,Spain,4,Margaret Peacock,ROMEY,Romero y tomillo,Spain,4,Margaret Peacock
10282,30,20.7,6,0.0,1996-08-15,ROMEY,4,1,124.19999999999999,1996-08,1996-08-15,43,ROMEY,Romero y tomillo,Spain,4,Margaret Peacock,43,ROMEY,Romero y tomillo,Spain,4,Margaret Peacock,ROMEY,Romero y tomillo,Spain,4,Margaret Peacock
10282,57,15.6,2,0.0,1996-08-15,ROMEY,4,1,31.2,1996-08,1996-08-15,43,ROMEY,Romero y tomillo,Spain,4,Margaret Peacock,43,ROMEY,Romero y tomillo,Spain,4,Margaret Peacock,ROMEY,Romero y tomillo,Spain,4,Margaret Peacock
10283,15,12.4,20,0.0,1996-08-16,LILAS,3,3,248.0,1996-08,1996-08-16,44,LILAS,LILA-Supermercado,Venezuela,3,Janet Leverling,44,LILAS,LILA-Supermercado,Venezuela,3,Janet Leverling,LILAS,LILA-Supermercado,Venezuela,3,Janet Leverling
10283,19,7.3,18,0.0,1996-08-16,LILAS,3,3,131.4,1996-08,1996-08-16,44,LILAS,LILA-Supermercado,Venezuela,3,Janet Leverling,44,LILAS,LILA-Supermercado,Venezuela,3,Janet Leverling,LILAS,LILA-Supermercado,Venezuela,3,Janet Leverling
